,sch9/wt,ras2/wt,tor1/wt,centroid
423,0.2583869,0.2889098,0.08006957,5.0
424,0.5323322,0.2151236,0.4380264,5.0
425,-0.1037056,-0.1627877,0.03353608,2.0
426,0.5552545,0.5793936,0.4584242,0.0
427,-0.1283183,-0.1622088,-0.1982758,2.0
428,-1.376873,-1.162216,-0.6399436,3.0
429,0.3703608,0.3455075,0.3253587,5.0
430,0.3499984,0.07391221,0.07945111,5.0
431,-0.9848046,-1.179718,-0.6358623,3.0
432,-0.03861923,0.4844186,0.3101998,5.0
433,0.210777,0.5478126,0.2517359,5.0
434,-0.4861336,-0.8615756,-0.4285839,1.0
435,-0.7998907,-1.635183,-0.8388177,3.0
436,0.4040415,1.859383,0.5233454,0.0
437,-0.330466,1.061533,-0.08394132,5.0
438,-0.03460205,0.115919,-0.3312759,2.0
439,0.4253594,0.8376887,0.2778306,0.0
440,-0.0831584,-0.7101271,-0.2778361,1.0
441,-0.6513855,-0.2276771,-0.5608266,1.0
442,0.5198868,0.6013452,0.2779178,5.0
443,-0.1161136,-0.2945139,-0.006179792,2.0
444,-0.04636154,0.3970299,0.1609927,5.0
445,0.01816911,0.3174385,0.002083769,5.0
446,0.1607958,-0.610095,-0.315224,1.0
447,0.344202,0.5937705,0.00976618,5.0
448,0.3369082,0.4687351,0.1227268,5.0
449,-0.870815,-1.187478,-0.7628844,3.0
450,0.6337942,1.170528,0.5872578,0.0
451,-0.2619537,-0.4442449,0.08554996,1.0
452,0.2850154,0.227871,0.4885312,5.0
453,0.05172348,0.3654427,0.1716988,5.0
454,0.1464198,-0.2279416,0.03669413,2.0
455,-0.2128672,-0.929196,-0.4795754,1.0
456,-0.6315374,-1.168716,-0.6660273,3.0
457,-0.7586116,-0.6233896,-0.1093032,1.0
458,-0.04517003,0.01409128,-0.1489249,2.0
459,0.3462294,0.3508244,0.2091228,5.0
460,-0.1720768,-0.2629658,0.1922569,2.0
461,-0.5179583,-0.6843683,-0.4713303,1.0
462,-0.007749841,0.1172527,0.1150605,2.0
463,-0.6222261,-1.058948,-0.1223513,1.0
464,0.4369407,0.7123536,0.5754607,0.0
465,0.1384636,0.1280484,0.2150772,5.0
466,-1.122185,-1.313307,-0.6706831,3.0
467,0.249742,0.2895771,0.1850013,5.0
468,0.4469825,0.5289193,0.2817101,5.0
469,-0.04646202,-0.01608576,-0.06184691,2.0
470,-0.5787533,-0.7582797,-0.3503203,1.0
471,0.2211532,-0.3413546,0.3193007,2.0
472,0.04519325,0.1439581,-0.1735961,2.0
473,0.3923715,-0.5326573,0.420773,2.0
474,0.1184725,-0.173753,0.0975762,2.0
475,0.03331809,-0.3452408,0.6536486,2.0
476,-0.1798582,-0.9809744,-0.1764039,1.0
477,0.281014,0.2445072,0.2570277,5.0
478,-0.157335,-0.433176,-0.2258893,1.0
479,-0.783201,-1.141294,-0.7179344,3.0
480,0.0756579,0.4049832,0.08965312,5.0
481,-0.01749325,0.422397,-0.05123209,5.0
482,0.7196893,1.120886,1.148847,0.0
483,0.2060243,0.3783442,0.3129461,5.0
484,0.0556454,0.1385483,0.0998966,5.0
485,-0.4518292,-0.6915774,-0.3629968,1.0
486,0.2012258,-0.0343208,0.2408577,5.0
487,-0.3712424,-0.9468309,-0.519621,1.0
488,0.117784,0.5129896,0.2140373,5.0
489,-0.002485494,0.4318429,0.006163544,5.0
490,0.8921912,3.406072,1.570475,4.0
491,0.9088051,1.031963,0.9503698,0.0
492,-0.2931618,-0.7247236,0.4510758,1.0
493,-0.2316583,0.07817938,-0.07445188,2.0
494,-0.5710927,-0.6203381,-0.5776519,1.0
495,-0.2582666,0.03884111,-0.3637623,2.0
496,0.09795967,0.02640331,-0.2598661,2.0
497,-0.1637524,0.4074047,0.1653949,5.0
498,-0.3408299,0.7741624,0.2224714,5.0
499,-0.4728101,0.4595218,0.3907114,5.0
500,0.6140274,0.6132662,0.6803132,0.0
501,-0.4485042,0.09189923,-0.1735147,2.0
502,-0.1649775,-0.02944952,-0.08800188,2.0
503,-0.1890462,0.3596775,-0.06216784,2.0
504,0.1650211,0.265131,0.03043124,5.0
505,-0.137452,0.3590932,-0.05606055,2.0
506,-0.1108538,-0.08197154,0.1126271,2.0
